SRR396143.8 D050VACXX110915:3:1101:5685:2140/3
SRR396143.9 D050VACXX110915:3:1101:16044:2143/3
SRR396143.10 D050VACXX110915:3:1101:9602:2147/3
SRR396143.11 D050VACXX110915:3:1101:10949:2151/3
SRR396143.12 D050VACXX110915:3:1101:18519:2153/3
SRR396143.13 D050VACXX110915:3:1101:2173:2164/3
SRR396143.14 D050VACXX110915:3:1101:8975:2164/3
SRR396143.15 D050VACXX110915:3:1101:5955:2166/3
SRR396143.16 D050VACXX110915:3:1101:17369:2168/3
SRR396143.17 D050VACXX110915:3:1101:16041:2170/3
SRR396143.18 D050VACXX110915:3:1101:13869:2171/3
SRR396143.19 D050VACXX110915:3:1101:6018:2174/3
SRR396143.20 D050VACXX110915:3:1101:2531:2179/3
SRR396143.21 D050VACXX110915:3:1101:2777:2181/3
SRR396143.22 D050VACXX110915:3:1101:7384:2181/3
SRR396143.23 D050VACXX110915:3:1101:5288:2183/3
SRR396143.24 D050VACXX110915:3:1101:2687:2184/3
SRR396143.25 D050VACXX110915:3:1101:11017:2185/3
SRR396143.26 D050VACXX110915:3:1101:14395:2186/3
SRR396143.27 D050VACXX110915:3:1101:18678:2190/3
SRR396143.28 D050VACXX110915:3:1101:9194:2195/3
SRR396143.29 D050VACXX110915:3:1101:21113:2195/3
SRR396143.30 D050VACXX110915:3:1101:11489:2196/3
SRR396143.31 D050VACXX110915:3:1101:7284:2200/3
SRR396143.32 D050VACXX110915:3:1101:19812:2202/3
SRR396143.33 D050VACXX110915:3:1101:20108:2205/3
SRR396143.34 D050VACXX110915:3:1101:20993:2205/3
SRR396143.35 D050VACXX110915:3:1101:14526:2216/3
SRR396143.36 D050VACXX110915:3:1101:18979:2217/3
SRR396143.37 D050VACXX110915:3:1101:16384:2222/3
SRR396143.38 D050VACXX110915:3:1101:4770:2223/3
SRR396143.39 D050VACXX110915:3:1101:10956:2223/3
SRR396143.40 D050VACXX110915:3:1101:18382:2225/3
SRR396143.41 D050VACXX110915:3:1101:11068:2226/3
SRR396143.42 D050VACXX110915:3:1101:9313:2228/3
SRR396143.43 D050VACXX110915:3:1101:2794:2232/3
SRR396143.44 D050VACXX110915:3:1101:10938:2235/3
SRR396143.45 D050VACXX110915:3:1101:14938:2235/3
SRR396143.46 D050VACXX110915:3:1101:8435:2236/3
SRR396143.47 D050VACXX110915:3:1101:9821:2241/3
SRR396143.48 D050VACXX110915:3:1101:5726:2243/3
SRR396143.49 D050VACXX110915:3:1101:16896:2245/3
SRR396143.50 D050VACXX110915:3:1101:3289:2255/3
SRR396143.51 D050VACXX110915:3:1101:6301:2258/3
SRR396143.52 D050VACXX110915:3:1101:13535:2260/3
SRR396143.53 D050VACXX110915:3:1101:1607:2261/3
SRR396143.54 D050VACXX110915:3:1101:11653:2261/3
SRR396143.55 D050VACXX110915:3:1101:19035:2276/3
SRR396143.56 D050VACXX110915:3:1101:2485:2277/3
SRR396143.57 D050VACXX110915:3:1101:18909:2280/3
SRR396143.58 D050VACXX110915:3:1101:11286:2281/3
SRR396143.59 D050VACXX110915:3:1101:20912:2283/3
SRR396143.60 D050VACXX110915:3:1101:8060:2284/3
SRR396143.61 D050VACXX110915:3:1101:17272:2285/3
SRR396143.62 D050VACXX110915:3:1101:1712:2301/3
SRR396143.63 D050VACXX110915:3:1101:8669:2305/3
SRR396143.64 D050VACXX110915:3:1101:1305:2316/3
SRR396143.65 D050VACXX110915:3:1101:11336:2318/3
SRR396143.66 D050VACXX110915:3:1101:13012:2322/3
SRR396143.67 D050VACXX110915:3:1101:13586:2323/3
SRR396143.68 D050VACXX110915:3:1101:4056:2328/3
SRR396143.69 D050VACXX110915:3:1101:19886:2329/3
SRR396143.70 D050VACXX110915:3:1101:4845:2337/3
SRR396143.71 D050VACXX110915:3:1101:16816:2340/3
SRR396143.72 D050VACXX110915:3:1101:8017:2341/3
SRR396143.73 D050VACXX110915:3:1101:12185:2342/3
SRR396143.74 D050VACXX110915:3:1101:19507:2343/3
