ERR257948.400 D1UV2ACXX_0:1:1101:2346:0/1
ERR257948.401 D1UV2ACXX_0:1:1101:2350:0/1
ERR257948.413 D1UV2ACXX_0:1:1101:2449:0/1
ERR257948.421 D1UV2ACXX_0:1:1101:2507:0/1
ERR257948.422 D1UV2ACXX_0:1:1101:2510:0/1
ERR257948.423 D1UV2ACXX_0:1:1101:2512:0/1
ERR257948.428 D1UV2ACXX_0:1:1101:2575:0/1
ERR257948.434 D1UV2ACXX_0:1:1101:2622:0/1
ERR257948.435 D1UV2ACXX_0:1:1101:2623:0/1
ERR257948.445 D1UV2ACXX_0:1:1101:2673:0/1
ERR257948.446 D1UV2ACXX_0:1:1101:2682:0/1
ERR257948.454 D1UV2ACXX_0:1:1101:2726:0/1
ERR257948.473 D1UV2ACXX_0:1:1101:2838:0/1
ERR257948.489 D1UV2ACXX_0:1:1101:2895:0/1
ERR257948.490 D1UV2ACXX_0:1:1101:2897:0/1
ERR257948.491 D1UV2ACXX_0:1:1101:2898:0/1
ERR257948.499 D1UV2ACXX_0:1:1101:2962:0/1
ERR257948.500 D1UV2ACXX_0:1:1101:2965:0/1
ERR257948.501 D1UV2ACXX_0:1:1101:2967:0/1
ERR257948.502 D1UV2ACXX_0:1:1101:2968:0/1
ERR257948.511 D1UV2ACXX_0:1:1101:3015:0/1
ERR257948.522 D1UV2ACXX_0:1:1101:3066:0/1
ERR257948.523 D1UV2ACXX_0:1:1101:3073:0/1
ERR257948.541 D1UV2ACXX_0:1:1101:3170:0/1
ERR257948.542 D1UV2ACXX_0:1:1101:3176:0/1
ERR257948.543 D1UV2ACXX_0:1:1101:3181:0/1
ERR257948.557 D1UV2ACXX_0:1:1101:3267:0/1
ERR257948.558 D1UV2ACXX_0:1:1101:3269:0/1
ERR257948.566 D1UV2ACXX_0:1:1101:3308:0/1
ERR257948.567 D1UV2ACXX_0:1:1101:3309:0/1
ERR257948.568 D1UV2ACXX_0:1:1101:3313:0/1
ERR257948.575 D1UV2ACXX_0:1:1101:3359:0/1
ERR257948.576 D1UV2ACXX_0:1:1101:3361:0/1
ERR257948.584 D1UV2ACXX_0:1:1101:3392:0/1
ERR257948.585 D1UV2ACXX_0:1:1101:3399:0/1
ERR257948.591 D1UV2ACXX_0:1:1101:3448:0/1
ERR257948.592 D1UV2ACXX_0:1:1101:3449:0/1
ERR257948.593 D1UV2ACXX_0:1:1101:3451:0/1
ERR257948.594 D1UV2ACXX_0:1:1101:3453:0/1
ERR257948.595 D1UV2ACXX_0:1:1101:3455:0/1
ERR257948.601 D1UV2ACXX_0:1:1101:3496:0/1
ERR257948.602 D1UV2ACXX_0:1:1101:3505:0/1
ERR257948.603 D1UV2ACXX_0:1:1101:3506:0/1
ERR257948.613 D1UV2ACXX_0:1:1101:3546:0/1
ERR257948.614 D1UV2ACXX_0:1:1101:3548:0/1
ERR257948.615 D1UV2ACXX_0:1:1101:3550:0/1
ERR257948.622 D1UV2ACXX_0:1:1101:3591:0/1
ERR257948.623 D1UV2ACXX_0:1:1101:3594:0/1
ERR257948.632 D1UV2ACXX_0:1:1101:3635:0/1
ERR257948.633 D1UV2ACXX_0:1:1101:3638:0/1
ERR257948.634 D1UV2ACXX_0:1:1101:3641:0/1
ERR257948.640 D1UV2ACXX_0:1:1101:3686:0/1
ERR257948.641 D1UV2ACXX_0:1:1101:3690:0/1
ERR257948.642 D1UV2ACXX_0:1:1101:3691:0/1
ERR257948.648 D1UV2ACXX_0:1:1101:3739:0/1
ERR257948.649 D1UV2ACXX_0:1:1101:3740:0/1
ERR257948.650 D1UV2ACXX_0:1:1101:3742:0/1
ERR257948.656 D1UV2ACXX_0:1:1101:3789:0/1
ERR257948.657 D1UV2ACXX_0:1:1101:3793:0/1
ERR257948.658 D1UV2ACXX_0:1:1101:3796:0/1
ERR257948.659 D1UV2ACXX_0:1:1101:3801:0/1
ERR257948.666 D1UV2ACXX_0:1:1101:3844:0/1
ERR257948.667 D1UV2ACXX_0:1:1101:3846:0/1
ERR257948.679 D1UV2ACXX_0:1:1101:3906:0/1
ERR257948.686 D1UV2ACXX_0:1:1101:3951:0/1
ERR257948.687 D1UV2ACXX_0:1:1101:3954:0/1
ERR257948.688 D1UV2ACXX_0:1:1101:3958:0/1
ERR257948.689 D1UV2ACXX_0:1:1101:3959:0/1
ERR257948.694 D1UV2ACXX_0:1:1101:4001:0/1
ERR257948.695 D1UV2ACXX_0:1:1101:4005:0/1
ERR257948.696 D1UV2ACXX_0:1:1101:4007:0/1
ERR257948.704 D1UV2ACXX_0:1:1101:4059:0/1
ERR257948.710 D1UV2ACXX_0:1:1101:4100:0/1
ERR257948.719 D1UV2ACXX_0:1:1101:4139:0/1
ERR257948.720 D1UV2ACXX_0:1:1101:4144:0/1
ERR257948.729 D1UV2ACXX_0:1:1101:4193:0/1
ERR257948.730 D1UV2ACXX_0:1:1101:4194:0/1
ERR257948.731 D1UV2ACXX_0:1:1101:4196:0/1
ERR257948.739 D1UV2ACXX_0:1:1101:4233:0/1
ERR257948.740 D1UV2ACXX_0:1:1101:4236:0/1
ERR257948.741 D1UV2ACXX_0:1:1101:4237:0/1
ERR257948.754 D1UV2ACXX_0:1:1101:4282:0/1
ERR257948.755 D1UV2ACXX_0:1:1101:4288:0/1
ERR257948.759 D1UV2ACXX_0:1:1101:4330:0/1
ERR257948.760 D1UV2ACXX_0:1:1101:4333:0/1
ERR257948.761 D1UV2ACXX_0:1:1101:4335:0/1
ERR257948.762 D1UV2ACXX_0:1:1101:4336:0/1
ERR257948.765 D1UV2ACXX_0:1:1101:4353:0/1
ERR257948.768 D1UV2ACXX_0:1:1101:4390:0/1
ERR257948.1893 D1UV2ACXX_0:1:1101:9200:0/1
ERR257948.1899 D1UV2ACXX_0:1:1101:9215:0/1
ERR257948.1904 D1UV2ACXX_0:1:1101:9250:0/1
ERR257948.1907 D1UV2ACXX_0:1:1101:9275:0/1
ERR257948.3032 D1UV2ACXX_0:1:1101:14163:0/1
ERR257948.3036 D1UV2ACXX_0:1:1101:14175:0/1
ERR257948.3037 D1UV2ACXX_0:1:1101:14182:0/1
ERR257948.3038 D1UV2ACXX_0:1:1101:14200:0/1
ERR257948.3039 D1UV2ACXX_0:1:1101:14213:0/1
ERR257948.4174 D1UV2ACXX_0:1:1101:19082:0/1
ERR257948.4179 D1UV2ACXX_0:1:1101:19109:0/1
ERR257948.4180 D1UV2ACXX_0:1:1101:19110:0/1
ERR257948.4185 D1UV2ACXX_0:1:1101:19144:0/1
ERR257948.4187 D1UV2ACXX_0:1:1101:19151:0/1
ERR257948.5317 D1UV2ACXX_0:1:1101:24033:0/1
ERR257948.5320 D1UV2ACXX_0:1:1101:24059:0/1
ERR257948.5322 D1UV2ACXX_0:1:1101:24063:0/1
ERR257948.5689 D1UV2ACXX_0:1:1101:25640:0/1
ERR257948.6454 D1UV2ACXX_0:1:1101:29039:0/1
ERR257948.6459 D1UV2ACXX_0:1:1101:29101:0/1
ERR257948.6462 D1UV2ACXX_0:1:1101:29115:0/1
ERR257948.6463 D1UV2ACXX_0:1:1101:29116:0/1
ERR257948.7138 D1UV2ACXX_0:1:1101:31922:0/2
ERR257948.7612 D1UV2ACXX_0:1:1101:33842:0/1
ERR257948.7627 D1UV2ACXX_0:1:1101:33908:0/1
ERR257948.8754 D1UV2ACXX_0:1:1101:38727:0/1
ERR257948.8757 D1UV2ACXX_0:1:1101:38738:0/1
ERR257948.8759 D1UV2ACXX_0:1:1101:38744:0/1
ERR257948.8766 D1UV2ACXX_0:1:1101:38783:0/1
ERR257948.8767 D1UV2ACXX_0:1:1101:38793:0/1
ERR257948.9838 D1UV2ACXX_0:1:1101:43620:0/1
ERR257948.9842 D1UV2ACXX_0:1:1101:43652:0/1
ERR257948.9844 D1UV2ACXX_0:1:1101:43671:0/1
ERR257948.9847 D1UV2ACXX_0:1:1101:43687:0/1
ERR257948.11000 D1UV2ACXX_0:1:1101:48585:0/1
ERR257948.11007 D1UV2ACXX_0:1:1101:48619:0/1
ERR257948.11011 D1UV2ACXX_0:1:1101:48634:0/1
ERR257948.11012 D1UV2ACXX_0:1:1101:48641:0/1
ERR257948.12116 D1UV2ACXX_0:1:1101:53530:0/1
ERR257948.12118 D1UV2ACXX_0:1:1101:53540:0/1
ERR257948.12119 D1UV2ACXX_0:1:1101:53543:0/1
ERR257948.12120 D1UV2ACXX_0:1:1101:53560:0/1
ERR257948.13242 D1UV2ACXX_0:1:1101:58475:0/1
ERR257948.13244 D1UV2ACXX_0:1:1101:58481:0/1
ERR257948.13246 D1UV2ACXX_0:1:1101:58493:0/1
ERR257948.13253 D1UV2ACXX_0:1:1101:58519:0/1
ERR257948.13255 D1UV2ACXX_0:1:1101:58524:0/1
ERR257948.13270 D1UV2ACXX_0:1:1101:58595:0/1
ERR257948.13273 D1UV2ACXX_0:1:1101:58602:0/1
ERR257948.14384 D1UV2ACXX_0:1:1101:63346:0/1
ERR257948.14387 D1UV2ACXX_0:1:1101:63370:0/1
ERR257948.14394 D1UV2ACXX_0:1:1101:63391:0/1
ERR257948.14395 D1UV2ACXX_0:1:1101:63436:0/1
ERR257948.15525 D1UV2ACXX_0:1:1101:68398:0/1
ERR257948.15527 D1UV2ACXX_0:1:1101:68449:0/1
ERR257948.15528 D1UV2ACXX_0:1:1101:68454:0/1
ERR257948.15535 D1UV2ACXX_0:1:1101:68478:0/1
ERR257948.16646 D1UV2ACXX_0:1:1101:73388:0/1
ERR257948.16647 D1UV2ACXX_0:1:1101:73403:0/1
ERR257948.16651 D1UV2ACXX_0:1:1101:73426:0/1
ERR257948.16654 D1UV2ACXX_0:1:1101:73435:0/1
ERR257948.17731 D1UV2ACXX_0:1:1101:78214:0/1
ERR257948.17732 D1UV2ACXX_0:1:1101:78215:0/1
ERR257948.17739 D1UV2ACXX_0:1:1101:78238:0/1
ERR257948.17741 D1UV2ACXX_0:1:1101:78240:0/1
ERR257948.17744 D1UV2ACXX_0:1:1101:78252:0/1
ERR257948.17746 D1UV2ACXX_0:1:1101:78278:0/1
ERR257948.17751 D1UV2ACXX_0:1:1101:78314:0/1
ERR257948.17918 D1UV2ACXX_0:1:1101:79056:0/2
ERR257948.18830 D1UV2ACXX_0:1:1101:83011:0/1
ERR257948.18836 D1UV2ACXX_0:1:1101:83042:0/1
ERR257948.18837 D1UV2ACXX_0:1:1101:83048:0/1
ERR257948.18840 D1UV2ACXX_0:1:1101:83064:0/1
ERR257948.18841 D1UV2ACXX_0:1:1101:83092:0/1
ERR257948.18842 D1UV2ACXX_0:1:1101:83096:0/1
ERR257948.19328 D1UV2ACXX_0:1:1101:85167:0/1
