ERR243065.17207 HS9_09378:1:1101:21285:91371#36/1
ERR243065.17208 HS9_09378:1:1101:21288:13254#36/1
ERR243065.17209 HS9_09378:1:1101:21289:70364#36/1
ERR243065.17210 HS9_09378:1:1101:21290:49094#36/1
ERR243065.17211 HS9_09378:1:1101:21291:27456#36/1
ERR243065.17212 HS9_09378:1:1101:21292:38377#36/1
ERR243065.17213 HS9_09378:1:1101:21292:94199#36/1
ERR243065.17214 HS9_09378:1:1101:21294:19328#36/1
ERR243065.17215 HS9_09378:1:1101:21294:78357#36/1
ERR243065.17216 HS9_09378:1:1101:21295:38858#36/1
ERR243065.17217 HS9_09378:1:1101:21296:25779#36/1
ERR243065.17218 HS9_09378:1:1101:21301:94669#36/1
ERR243065.17219 HS9_09378:1:1101:21302:78789#36/1
ERR243065.17220 HS9_09378:1:1101:21306:89629#36/1
ERR243065.17221 HS9_09378:1:1101:21307:71731#36/1
ERR243065.17222 HS9_09378:1:1101:21309:27197#36/1
ERR243065.17223 HS9_09378:1:1101:21311:86949#36/1
ERR243065.17224 HS9_09378:1:1101:21314:28524#36/1
ERR243065.17225 HS9_09378:1:1101:21314:60816#36/1
ERR243065.17226 HS9_09378:1:1101:21314:62640#36/1
ERR243065.17227 HS9_09378:1:1101:21316:73501#36/1
ERR243065.17228 HS9_09378:1:1101:21316:97869#36/1
ERR243065.17229 HS9_09378:1:1101:21318:66601#36/1
ERR243065.17230 HS9_09378:1:1101:21319:99378#36/1
ERR243065.17231 HS9_09378:1:1101:21320:36015#36/1
ERR243065.17232 HS9_09378:1:1101:21320:50398#36/1
ERR243065.17233 HS9_09378:1:1101:21321:12447#36/1
ERR243065.17234 HS9_09378:1:1101:21323:4384#36/1
ERR243065.17235 HS9_09378:1:1101:21327:2836#36/1
ERR243065.17236 HS9_09378:1:1101:21328:23442#36/1
ERR243065.17237 HS9_09378:1:1101:21329:53481#36/1
ERR243065.17238 HS9_09378:1:1101:21329:97432#36/1
ERR243065.17239 HS9_09378:1:1101:21330:79597#36/1
ERR243065.17240 HS9_09378:1:1101:21331:98946#36/1
ERR243065.17241 HS9_09378:1:1101:21332:9335#36/1
ERR243065.17242 HS9_09378:1:1101:21333:91222#36/1
ERR243065.17243 HS9_09378:1:1101:21334:62124#36/1
ERR243065.17244 HS9_09378:1:1101:21336:3784#36/1
ERR243065.17245 HS9_09378:1:1101:21337:15721#36/1
ERR243065.17246 HS9_09378:1:1101:21340:38564#36/1
ERR243065.17247 HS9_09378:1:1101:21341:43566#36/1
ERR243065.17252 HS9_09378:1:1101:21353:69557#36/1
ERR243065.17253 HS9_09378:1:1101:21353:99896#36/1
ERR243065.19511 HS9_09378:1:1102:4086:100859#36/1
ERR243065.19766 HS9_09378:1:1102:4400:76186#36/1
ERR243065.20530 HS9_09378:1:1102:5241:2022#36/2
ERR243065.23206 HS9_09378:1:1102:8494:2036#36/2
ERR243065.23380 HS9_09378:1:1102:8699:2038#36/2
ERR243065.23946 HS9_09378:1:1102:9321:100855#36/1
ERR243065.24035 HS9_09378:1:1102:9419:36962#36/1
ERR243065.25485 HS9_09378:1:1102:11001:2035#36/2
ERR243065.27323 HS9_09378:1:1102:13016:2021#36/2
ERR243065.27940 HS9_09378:1:1102:13700:2021#36/2
ERR243065.27944 HS9_09378:1:1102:13703:100833#36/1
ERR243065.28002 HS9_09378:1:1102:13773:100837#36/1
ERR243065.30311 HS9_09378:1:1102:16374:2022#36/2
ERR243065.30587 HS9_09378:1:1102:16670:55692#36/2
ERR243065.30802 HS9_09378:1:1102:16889:100834#36/1
ERR243065.32389 HS9_09378:1:1102:18721:2026#36/2
ERR243065.32995 HS9_09378:1:1102:19456:100843#36/1
