SRR396143.2994489 D050VACXX110915:3:2308:11438:194600/3
SRR396143.2994490 D050VACXX110915:3:2308:8464:194605/3
SRR396143.2994491 D050VACXX110915:3:2308:19790:194606/3
SRR396143.2994492 D050VACXX110915:3:2308:20684:194606/3
SRR396143.2994493 D050VACXX110915:3:2308:16512:194607/3
SRR396143.2994494 D050VACXX110915:3:2308:11396:194608/3
SRR396143.2994495 D050VACXX110915:3:2308:17428:194609/3
SRR396143.2994496 D050VACXX110915:3:2308:18826:194610/3
SRR396143.2994497 D050VACXX110915:3:2308:7925:194614/3
SRR396143.2994498 D050VACXX110915:3:2308:11610:194614/3
SRR396143.2994499 D050VACXX110915:3:2308:5600:194620/3
SRR396143.2994500 D050VACXX110915:3:2308:21274:194620/3
SRR396143.2994501 D050VACXX110915:3:2308:14837:194621/3
SRR396143.2994502 D050VACXX110915:3:2308:10856:194622/3
SRR396143.2994503 D050VACXX110915:3:2308:3340:194627/3
SRR396143.2994504 D050VACXX110915:3:2308:11574:194632/3
SRR396143.2994505 D050VACXX110915:3:2308:20918:194632/3
SRR396143.2994506 D050VACXX110915:3:2308:1507:194633/3
SRR396143.2994507 D050VACXX110915:3:2308:6470:194635/3
SRR396143.2994508 D050VACXX110915:3:2308:19482:194642/3
SRR396143.2994509 D050VACXX110915:3:2308:2583:194643/3
SRR396143.2994510 D050VACXX110915:3:2308:13444:194643/3
SRR396143.2994511 D050VACXX110915:3:2308:6096:194644/3
SRR396143.2994512 D050VACXX110915:3:2308:1905:194646/3
SRR396143.2994513 D050VACXX110915:3:2308:11936:194646/3
SRR396143.2994514 D050VACXX110915:3:2308:15452:194648/3
SRR396143.2994515 D050VACXX110915:3:2308:4700:194650/3
SRR396143.2994516 D050VACXX110915:3:2308:5204:194661/3
SRR396143.2994517 D050VACXX110915:3:2308:10294:194665/3
SRR396143.2994518 D050VACXX110915:3:2308:10913:194665/3
SRR396143.2994519 D050VACXX110915:3:2308:11930:194667/3
SRR396143.2994520 D050VACXX110915:3:2308:21292:194678/3
SRR396143.2994521 D050VACXX110915:3:2308:8658:194683/3
SRR396143.2994522 D050VACXX110915:3:2308:7984:194688/3
SRR396143.2994523 D050VACXX110915:3:2308:20170:194690/3
SRR396143.2994524 D050VACXX110915:3:2308:4652:194693/3
